time_iso,time_ms,open,high,low,close,volume
2026-03-12T13:06:00.000Z,1773320760000,24814.1,24820,24812.6,24818.6,354
2026-03-12T13:07:00.000Z,1773320820000,24818.3,24818.8,24813.1,24814.5,309
2026-03-12T13:08:00.000Z,1773320880000,24815,24819.8,24812.7,24817.6,323
2026-03-12T13:09:00.000Z,1773320940000,24817.6,24819.3,24812.2,24815.1,318
2026-03-12T13:10:00.000Z,1773321000000,24815.2,24823.2,24813.2,24819.7,329
2026-03-12T13:11:00.000Z,1773321060000,24819.8,24823.3,24811.3,24813.5,333
2026-03-12T13:12:00.000Z,1773321120000,24813.6,24817.7,24810.3,24811.6,346
2026-03-12T13:13:00.000Z,1773321180000,24811.8,24812.2,24794.5,24794.6,329
2026-03-12T13:14:00.000Z,1773321240000,24794.5,24794.8,24778.1,24779.6,366
2026-03-12T13:15:00.000Z,1773321300000,24779.3,24782.3,24752.3,24754.1,469
2026-03-12T13:16:00.000Z,1773321360000,24754.1,24764.1,24753.1,24754.7,502
2026-03-12T13:17:00.000Z,1773321420000,24754.5,24769.3,24753.8,24761,449
2026-03-12T13:18:00.000Z,1773321480000,24760.8,24771.3,24753.1,24761.6,441
2026-03-12T13:19:00.000Z,1773321540000,24761.5,24787,24757.3,24762,472
2026-03-12T13:20:00.000Z,1773321600000,24762.3,24770.5,24744.3,24746.5,476
2026-03-12T13:21:00.000Z,1773321660000,24745.8,24748.5,24736.1,24740.1,493
2026-03-12T13:22:00.000Z,1773321720000,24738.8,24754.6,24729.7,24729.8,449
2026-03-12T13:23:00.000Z,1773321780000,24730,24760.8,24727.7,24750.5,506
2026-03-12T13:24:00.000Z,1773321840000,24750.6,24765.8,24750,24765.1,479
2026-03-12T13:25:00.000Z,1773321900000,24765,24775.3,24763.1,24769.8,442
2026-03-12T13:26:00.000Z,1773321960000,24769.8,24775.2,24767.2,24771.2,428
2026-03-12T13:27:00.000Z,1773322020000,24771.3,24772.5,24760.3,24765,436
2026-03-12T13:28:00.000Z,1773322080000,24765.6,24766.7,24750.1,24752.7,439
2026-03-12T13:29:00.000Z,1773322140000,24751.6,24759,24749.5,24753,436
2026-03-12T13:30:00.000Z,1773322200000,24751.7,24789.1,24747.7,24758.7,570
2026-03-12T13:31:00.000Z,1773322260000,24757.2,24767.8,24720.9,24722.8,552
2026-03-12T13:32:00.000Z,1773322320000,24723.6,24759.1,24719.7,24749.9,563
2026-03-12T13:33:00.000Z,1773322380000,24749.8,24772.8,24748.2,24770.6,565
2026-03-12T13:34:00.000Z,1773322440000,24771.2,24805.1,24770.6,24790.3,548
2026-03-12T13:35:00.000Z,1773322500000,24790.7,24799.3,24780.8,24792.2,562
2026-03-12T13:36:00.000Z,1773322560000,24792.3,24799.8,24775.1,24778.1,538
2026-03-12T13:37:00.000Z,1773322620000,24777.9,24801.2,24775.2,24783.9,555
2026-03-12T13:38:00.000Z,1773322680000,24783.4,24810.5,24780.6,24790.2,551
2026-03-12T13:39:00.000Z,1773322740000,24790.6,24808.1,24783.9,24794.6,542
2026-03-12T13:40:00.000Z,1773322800000,24793.6,24804.6,24775.5,24794.4,558
2026-03-12T13:41:00.000Z,1773322860000,24792.6,24792.6,24766.4,24767.6,527
2026-03-12T13:42:00.000Z,1773322920000,24767.7,24769.6,24752.4,24752.5,533
2026-03-12T13:43:00.000Z,1773322980000,24751.9,24760.9,24743.2,24747.1,546
2026-03-12T13:44:00.000Z,1773323040000,24746.4,24751.7,24738.1,24742,505
2026-03-12T13:45:00.000Z,1773323100000,24741.9,24741.9,24703.5,24706.6,518
2026-03-12T13:46:00.000Z,1773323160000,24706.5,24706.5,24683.6,24684,522
2026-03-12T13:47:00.000Z,1773323220000,24684.7,24685.1,24653.7,24676.6,536
2026-03-12T13:48:00.000Z,1773323280000,24676.2,24696.4,24668.9,24691.5,540
2026-03-12T13:49:00.000Z,1773323340000,24691.4,24714.7,24690.4,24712.7,540
2026-03-12T13:50:00.000Z,1773323400000,24713.1,24743,24713.1,24719.7,552
2026-03-12T13:51:00.000Z,1773323460000,24719.4,24734.7,24706.2,24706.2,518
2026-03-12T13:52:00.000Z,1773323520000,24704.9,24705.5,24670.6,24671,542
2026-03-12T13:53:00.000Z,1773323580000,24671.9,24673.6,24646,24649.7,526
